prognosis;symptoms
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
AIDS;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
AIDS;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
GERD;stomach_pain,acidity,vomiting,cough,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Fungal infection;itching,skin_rash,nodal_skin_eruptions
Jaundice;continuous_sneezing,shivering,chills,watering_from_eyes
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
AIDS;skin_rash,nodal_skin_eruptions,dischromic _patches
Fungal infection;itching,nodal_skin_eruptions,dischromic _patches
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
Chronic cholestasis;itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes
Fungal infection;skin_rash,nodal_skin_eruptions,dischromic _patches
GERD;stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain
Fungal infection;itching,skin_rash,nodal_skin_eruptions,dischromic _patches
